gis_node_id;name;continent;country;region;nearest_city;latitude;longitude;elevation;population;status
;Kalianoi;Europe;Greece;Korinthia, Peloponnese;;37.8890753;22.4947054;694 m;;
;Gkoura;Europe;Greece;Korinthia, Peloponnese;;37.9326446;22.3407976;956 m;;
;Kissamos;Europe;Greece;Chania, Crete;;35.4945873;23.6537459;21 m;;
;Kandanos;Europe;Greece;Chania, Crete;;35.3274474;23.7415942;431 m;;
;Anogia;Europe;Greece;Rethimno, Crete;;35.2896605;24.8844831;760 m;;
;Spili;Europe;Greece;Rethimno, Crete;;35.2188059;24.5357817;417 m;;
;Agia Fotini;Europe;Greece;Rethimno, Crete;;35.2546152;24.6342283;479 m;;
;Tilissos;Europe;Greece;Iraklio, Crete;;35.2970392;25.0182231;196 m;;
;Charakas;Europe;Greece;Iraklio, Crete;;35.0119015;25.1203147;294 m;;
;Tzermiado;Europe;Greece;Lasithi, Crete;;35.19954;25.4891347;837 m;;
;Chandras;Europe;Greece;Lasithi, Crete;;35.0812107;26.099508;574 m;;
;Tourloti;Europe;Greece;Lasithi, Crete;;35.1840527;25.9049913;5 m;;
;Psixro;Europe;Greece;Lasithi, Crete;;35.164941;25.4505762;837 m;;
